card_id,name,supertype,subtypes,types,hp,number,rarity,artist,set.id,set.name,set.series,set.release_date,release_year,images.small,images.large,prices.tcgplayer_variants.normal.market,prices.tcgplayer_variants.holofoil.market,prices.tcgplayer_variants.reverseHolofoil.market,prices.cardmarket_trend,prices.cardmarket_avg_sell,effective_market_price
np-38,Groudon ex,Pokémon,"Basic, EX",Fighting,100.0,38,Promo,Ryo Ueda,np,Nintendo Black Star Promos,NP,2003/10/01,2003,https://images.pokemontcg.io/np/38.png,https://images.pokemontcg.io/np/38_hires.png,,241.75,,43.03,45.05,241.75
base1-47,Diglett,Pokémon,Basic,Fighting,30.0,47,Common,Keiji Kinebuchi,base1,Base,Base,1999/01/09,1999,https://images.pokemontcg.io/base1/47.png,https://images.pokemontcg.io/base1/47_hires.png,1.02,,,4.34,3.91,1.02
neo4-45,Light Dewgong,Pokémon,Stage 1,Water,80.0,45,Uncommon,Masako Yamashita,neo4,Neo Destiny,Neo,2002/02/28,2002,https://images.pokemontcg.io/neo4/45.png,https://images.pokemontcg.io/neo4/45_hires.png,,,,2.28,1.82,2.28
sm35-37,Arbok,Pokémon,Stage 1,Psychic,120.0,37,Uncommon,kodama,sm35,Shining Legends,Sun & Moon,2017/10/06,2017,https://images.pokemontcg.io/sm35/37.png,https://images.pokemontcg.io/sm35/37_hires.png,0.31,,0.67,0.06,0.1,0.31
base2-37,Gloom,Pokémon,Stage 1,Grass,60.0,37,Uncommon,Keiji Kinebuchi,base2,Jungle,Base,1999/06/16,1999,https://images.pokemontcg.io/base2/37.png,https://images.pokemontcg.io/base2/37_hires.png,,,,0.69,1.02,0.69
bw9-45,Grimer,Pokémon,Basic,Psychic,70.0,45,Common,Hajime Kusajima,bw9,Plasma Freeze,Black & White,2013/05/08,2013,https://images.pokemontcg.io/bw9/45.png,https://images.pokemontcg.io/bw9/45_hires.png,0.38,,1.03,0.1,0.14,0.38
xy7-46,Malamar,Pokémon,Stage 1,Darkness,90.0,46,Common,Masakazu Fukuda,xy7,Ancient Origins,XY,2015/08/12,2015,https://images.pokemontcg.io/xy7/46.png,https://images.pokemontcg.io/xy7/46_hires.png,0.08,,0.4,0.03,0.05,0.08
swsh3-41,Panpour,Pokémon,Basic,Water,60.0,41,Common,ryoma uratsuka,swsh3,Darkness Ablaze,Sword & Shield,2020/08/14,2020,https://images.pokemontcg.io/swsh3/41.png,https://images.pokemontcg.io/swsh3/41_hires.png,0.21,,0.3,0.06,0.05,0.21
bwp-BW34,Luxio,Pokémon,Stage 1,Lightning,80.0,BW34,Promo,Naoki Saito,bwp,BW Black Star Promos,Black & White,2011/03/01,2011,https://images.pokemontcg.io/bwp/BW34.png,https://images.pokemontcg.io/bwp/BW34_hires.png,,75.0,,5.6,5.25,75.0
base5-43,Dark Primeape,Pokémon,Stage 1,Fighting,60.0,43,Uncommon,Mitsuhiro Arita,base5,Team Rocket,Base,2000/04/24,2000,https://images.pokemontcg.io/base5/43.png,https://images.pokemontcg.io/base5/43_hires.png,,,,2.37,2.57,2.37
neo3-41,Aipom,Pokémon,Basic,Colorless,40.0,41,Common,Sumiyoshi Kizuki,neo3,Neo Revelation,Neo,2001/09/21,2001,https://images.pokemontcg.io/neo3/41.png,https://images.pokemontcg.io/neo3/41_hires.png,,,,1.44,0.85,1.44
sm5-44,Electivire,Pokémon,Stage 1,Lightning,140.0,44,Rare,Anesaki Dynamic,sm5,Ultra Prism,Sun & Moon,2018/02/02,2018,https://images.pokemontcg.io/sm5/44.png,https://images.pokemontcg.io/sm5/44_hires.png,0.37,,0.72,0.08,0.22,0.37
dp6-40,Shedinja,Pokémon,Stage 1,Grass,60.0,40,Rare,Kouki Saitou,dp6,Legends Awakened,Diamond & Pearl,2008/08/01,2008,https://images.pokemontcg.io/dp6/40.png,https://images.pokemontcg.io/dp6/40_hires.png,3.5,,10.24,2.62,2.54,3.5
gym1-45,Erika's Gloom,Pokémon,Stage 1,Grass,60.0,45,Uncommon,Ken Sugimori,gym1,Gym Heroes,Gym,2000/08/14,2000,https://images.pokemontcg.io/gym1/45.png,https://images.pokemontcg.io/gym1/45_hires.png,,,,2.15,2.29,2.15
ex11-44,Hariyama,Pokémon,Stage 1,Fighting,80.0,44,Uncommon,Hisao Nakamura,ex11,Delta Species,EX,2005/10/31,2005,https://images.pokemontcg.io/ex11/44.png,https://images.pokemontcg.io/ex11/44_hires.png,1.81,,14.18,1.03,1.08,1.81
sm9-47,Joltik,Pokémon,Basic,Lightning,40.0,47,Common,Yuka Morii,sm9,Team Up,Sun & Moon,2019/02/01,2019,https://images.pokemontcg.io/sm9/47.png,https://images.pokemontcg.io/sm9/47_hires.png,0.86,,4.26,0.08,0.14,0.86
dp7-37,Electrode,Pokémon,Stage 1,Lightning,80.0,37,Uncommon,Sumiyoshi Kizuki,dp7,Stormfront,Diamond & Pearl,2008/11/01,2008,https://images.pokemontcg.io/dp7/37.png,https://images.pokemontcg.io/dp7/37_hires.png,0.65,,1.18,0.29,0.26,0.65
ex15-35,Nidorino δ,Pokémon,Stage 1,Darkness,70.0,35,Uncommon,Atsuko Nishida,ex15,Dragon Frontiers,EX,2006/11/01,2006,https://images.pokemontcg.io/ex15/35.png,https://images.pokemontcg.io/ex15/35_hires.png,1.35,,27.12,0.89,0.99,1.35
xy12-39,Voltorb,Pokémon,Basic,Lightning,60.0,39,Common,Keiji Kinebuchi,xy12,Evolutions,XY,2016/11/02,2016,https://images.pokemontcg.io/xy12/39.png,https://images.pokemontcg.io/xy12/39_hires.png,0.08,,0.48,0.07,0.06,0.08
dp2-40,Whiscash,Pokémon,Stage 1,Water,90.0,40,Rare,Daisuke Ito,dp2,Mysterious Treasures,Diamond & Pearl,2007/08/01,2007,https://images.pokemontcg.io/dp2/40.png,https://images.pokemontcg.io/dp2/40_hires.png,0.84,,2.21,0.13,0.67,0.84
base6-41,Dodrio,Pokémon,Stage 1,Colorless,70.0,41,Uncommon,Mitsuhiro Arita,base6,Legendary Collection,Other,2002/05/24,2002,https://images.pokemontcg.io/base6/41.png,https://images.pokemontcg.io/base6/41_hires.png,1.47,,78.4,1.01,1.08,1.47
dp3-49,Farfetch'd,Pokémon,Basic,Colorless,60.0,49,Uncommon,Ken Sugimori,dp3,Secret Wonders,Diamond & Pearl,2007/11/01,2007,https://images.pokemontcg.io/dp3/49.png,https://images.pokemontcg.io/dp3/49_hires.png,0.66,,3.6,0.37,0.31,0.66
bw10-50,Machamp,Pokémon,Stage 2,Fighting,140.0,50,Rare,Kouki Saitou,bw10,Plasma Blast,Black & White,2013/08/14,2013,https://images.pokemontcg.io/bw10/50.png,https://images.pokemontcg.io/bw10/50_hires.png,1.49,,10.58,0.76,0.86,1.49
ex6-42,Onix,Pokémon,Basic,Fighting,80.0,42,Uncommon,Kouki Saitou,ex6,FireRed & LeafGreen,EX,2004/09/01,2004,https://images.pokemontcg.io/ex6/42.png,https://images.pokemontcg.io/ex6/42_hires.png,2.72,,24.49,3.03,3.32,2.72
ex1-35,Kirlia,Pokémon,Stage 1,Psychic,70.0,35,Uncommon,Atsuko Nishida,ex1,Ruby & Sapphire,EX,2003/07/01,2003,https://images.pokemontcg.io/ex1/35.png,https://images.pokemontcg.io/ex1/35_hires.png,2.8,,59.99,1.96,2.41,2.8
hgss1-51,Skiploom,Pokémon,Stage 1,Grass,60.0,51,Uncommon,sui,hgss1,HeartGold & SoulSilver,HeartGold & SoulSilver,2010/02/10,2010,https://images.pokemontcg.io/hgss1/51.png,https://images.pokemontcg.io/hgss1/51_hires.png,1.4,,0.25,0.33,0.26,1.4
bw5-39,Plusle,Pokémon,Basic,Lightning,60.0,39,Common,Naoki Saito,bw5,Dark Explorers,Black & White,2012/05/09,2012,https://images.pokemontcg.io/bw5/39.png,https://images.pokemontcg.io/bw5/39_hires.png,12.38,,31.01,0.84,0.67,12.38
sm7-45,Regice,Pokémon,Basic,Water,120.0,45,Rare,kodama,sm7,Celestial Storm,Sun & Moon,2018/08/03,2018,https://images.pokemontcg.io/sm7/45.png,https://images.pokemontcg.io/sm7/45_hires.png,0.39,,0.96,0.36,0.48,0.39
sm75-43,Shelgon,Pokémon,Stage 1,Dragon,80.0,43,Uncommon,Yuka Morii,sm75,Dragon Majesty,Sun & Moon,2018/09/07,2018,https://images.pokemontcg.io/sm75/43.png,https://images.pokemontcg.io/sm75/43_hires.png,1.79,,4.87,0.38,0.31,1.79
gym2-49,Koga's Pidgey,Pokémon,Basic,Colorless,40.0,49,Uncommon,Atsuko Nishida,gym2,Gym Challenge,Gym,2000/10/16,2000,https://images.pokemontcg.io/gym2/49.png,https://images.pokemontcg.io/gym2/49_hires.png,,,,3.48,4.22,3.48
xy8-40,Abomasnow,Pokémon,Stage 1,Water,130.0,40,Rare,Naoyo Kimura,xy8,BREAKthrough,XY,2015/11/04,2015,https://images.pokemontcg.io/xy8/40.png,https://images.pokemontcg.io/xy8/40_hires.png,0.23,,0.5,0.25,0.64,0.23
smp-SM36,Umbreon-GX,Pokémon,"Stage 1, GX",Darkness,200.0,SM36,Promo,5ban Graphics,smp,SM Black Star Promos,Sun & Moon,2017/02/03,2017,https://images.pokemontcg.io/smp/SM36.png,https://images.pokemontcg.io/smp/SM36_hires.png,,58.86,,30.29,21.67,58.86
ecard1-37,Blastoise,Pokémon,Stage 2,Water,100.0,37,Rare,Kimiya Masago,ecard1,Expedition Base Set,E-Card,2002/09/15,2002,https://images.pokemontcg.io/ecard1/37.png,https://images.pokemontcg.io/ecard1/37_hires.png,92.08,,136.81,21.18,21.64,92.08
ecard3-12,Houndoom,Pokémon,Stage 1,Darkness,70.0,12,Rare,Kimiya Masago,ecard3,Skyridge,E-Card,2003/05/12,2003,https://images.pokemontcg.io/ecard3/12.png,https://images.pokemontcg.io/ecard3/12_hires.png,104.73,,267.5,17.66,13.42,104.73
sm8-45,Houndour,Pokémon,Basic,Fire,60.0,45,Common,Ken Sugimori,sm8,Lost Thunder,Sun & Moon,2018/11/02,2018,https://images.pokemontcg.io/sm8/45.png,https://images.pokemontcg.io/sm8/45_hires.png,0.34,,0.48,0.07,0.1,0.34
ex16-38,Sharpedo,Pokémon,Stage 1,Darkness,70.0,38,Uncommon,Midori Harada,ex16,Power Keepers,EX,2007/02/02,2007,https://images.pokemontcg.io/ex16/38.png,https://images.pokemontcg.io/ex16/38_hires.png,1.5,,51.56,0.28,0.27,1.5
pl2-41,Glaceon,Pokémon,Stage 1,Water,80.0,41,Uncommon,Naoyo Kimura,pl2,Rising Rivals,Platinum,2009/05/16,2009,https://images.pokemontcg.io/pl2/41.png,https://images.pokemontcg.io/pl2/41_hires.png,7.04,,41.0,1.15,1.32,7.04
hgss3-44,Combee,Pokémon,Basic,Grass,30.0,44,Common,Naoyo Kimura,hgss3,HS—Undaunted,HeartGold & SoulSilver,2010/08/18,2010,https://images.pokemontcg.io/hgss3/44.png,https://images.pokemontcg.io/hgss3/44_hires.png,0.36,,2.14,0.21,0.19,0.36
xy4-41,Litwick,Pokémon,Basic,Psychic,50.0,41,Common,Midori Harada,xy4,Phantom Forces,XY,2014/11/05,2014,https://images.pokemontcg.io/xy4/41.png,https://images.pokemontcg.io/xy4/41_hires.png,0.35,,0.58,0.14,0.07,0.35
bw3-42,Stunfisk,Pokémon,Basic,Lightning,90.0,42,Common,Shin Nagasawa,bw3,Noble Victories,Black & White,2011/11/16,2011,https://images.pokemontcg.io/bw3/42.png,https://images.pokemontcg.io/bw3/42_hires.png,0.26,,0.58,0.17,0.1,0.26
pl3-41,Sableye G,Pokémon,"Basic, SP",Darkness,70.0,41,Rare,Yusuke Ishikawa,pl3,Supreme Victors,Platinum,2009/08/19,2009,https://images.pokemontcg.io/pl3/41.png,https://images.pokemontcg.io/pl3/41_hires.png,8.21,,20.71,2.88,2.6,8.21
swsh4-42,Barraskewda,Pokémon,Stage 1,Water,120.0,42,Rare,Akira Komayama,swsh4,Vivid Voltage,Sword & Shield,2020/11/13,2020,https://images.pokemontcg.io/swsh4/42.png,https://images.pokemontcg.io/swsh4/42_hires.png,0.21,,0.34,0.17,0.17,0.21
neo2-37,Corsola,Pokémon,Basic,Water,50.0,37,Uncommon,Yuka Morii,neo2,Neo Discovery,Neo,2001/06/01,2001,https://images.pokemontcg.io/neo2/37.png,https://images.pokemontcg.io/neo2/37_hires.png,,,,2.2,1.91,2.2
ex5-39,Loudred,Pokémon,Stage 1,Colorless,80.0,39,Uncommon,Tomokazu Komiya,ex5,Hidden Legends,EX,2004/06/01,2004,https://images.pokemontcg.io/ex5/39.png,https://images.pokemontcg.io/ex5/39_hires.png,2.26,,16.94,1.07,1.03,2.26
xy5-46,Spheal,Pokémon,Basic,Water,70.0,46,Common,Kagemaru Himeno,xy5,Primal Clash,XY,2015/02/04,2015,https://images.pokemontcg.io/xy5/46.png,https://images.pokemontcg.io/xy5/46_hires.png,0.29,,0.61,0.12,0.14,0.29
swsh35-48,Swablu,Pokémon,Basic,Colorless,50.0,48,Common,0313,swsh35,Champion's Path,Sword & Shield,2020/09/25,2020,https://images.pokemontcg.io/swsh35/48.png,https://images.pokemontcg.io/swsh35/48_hires.png,0.23,,0.34,0.06,0.06,0.23
base3-48,Grimer,Pokémon,Basic,Grass,50.0,48,Common,Mitsuhiro Arita,base3,Fossil,Base,1999/10/10,1999,https://images.pokemontcg.io/base3/48.png,https://images.pokemontcg.io/base3/48_hires.png,,,,0.72,0.57,0.72
sm3-41,Raichu,Pokémon,Stage 1,Lightning,110.0,41,Rare Holo,Kagemaru Himeno,sm3,Burning Shadows,Sun & Moon,2017/08/05,2017,https://images.pokemontcg.io/sm3/41.png,https://images.pokemontcg.io/sm3/41_hires.png,,1.55,1.51,7.98,8.95,1.55
col1-46,Magby,Pokémon,Basic,Fire,30.0,46,Uncommon,Akira Komayama,col1,Call of Legends,HeartGold & SoulSilver,2011/02/09,2011,https://images.pokemontcg.io/col1/46.png,https://images.pokemontcg.io/col1/46_hires.png,0.97,,4.39,0.65,0.75,0.97
ex4-47,Team Aqua's Carvanha,Pokémon,Basic,Water,40.0,47,Common,Yosuke Da Silva,ex4,Team Magma vs Team Aqua,EX,2004/03/01,2004,https://images.pokemontcg.io/ex4/47.png,https://images.pokemontcg.io/ex4/47_hires.png,0.8,,11.66,0.54,0.54,0.8
bw1-43,Zebstrika,Pokémon,Stage 1,Lightning,90.0,43,Rare,Masakazu Fukuda,bw1,Black & White,Black & White,2011/04/25,2011,https://images.pokemontcg.io/bw1/43.png,https://images.pokemontcg.io/bw1/43_hires.png,0.98,,2.33,0.89,1.11,0.98
dp1-47,Dusclops,Pokémon,Stage 1,Psychic,80.0,47,Uncommon,Kouki Saitou,dp1,Diamond & Pearl,Diamond & Pearl,2007/05/01,2007,https://images.pokemontcg.io/dp1/47.png,https://images.pokemontcg.io/dp1/47_hires.png,0.52,,3.03,0.48,0.32,0.52
sm6-41,Uxie,Pokémon,Basic,Psychic,60.0,41,Uncommon,Shin Nagasawa,sm6,Forbidden Light,Sun & Moon,2018/05/04,2018,https://images.pokemontcg.io/sm6/41.png,https://images.pokemontcg.io/sm6/41_hires.png,0.26,,0.63,0.12,0.13,0.26
sm2-45,Vikavolt-GX,Pokémon,"Stage 2, GX",Lightning,240.0,45,Rare Holo GX,5ban Graphics,sm2,Guardians Rising,Sun & Moon,2017/05/05,2017,https://images.pokemontcg.io/sm2/45.png,https://images.pokemontcg.io/sm2/45_hires.png,,1.91,,1.4,1.44,1.91
xy2-52,Weavile,Pokémon,Stage 1,Darkness,90.0,52,Rare,Shigenori Negishi,xy2,Flashfire,XY,2014/05/07,2014,https://images.pokemontcg.io/xy2/52.png,https://images.pokemontcg.io/xy2/52_hires.png,0.43,,0.89,0.5,0.4,0.43
mcd11-8,Sandile,Pokémon,Basic,Fighting,70.0,8,,Ken Sugimori,mcd11,McDonald's Collection 2011,Other,2011/06/17,2011,https://images.pokemontcg.io/mcd11/8.png,https://images.pokemontcg.io/mcd11/8_hires.png,,9.85,,1.49,1.75,9.85
bw2-39,Whirlipede,Pokémon,Stage 1,Psychic,90.0,39,Uncommon,Shin Nagasawa,bw2,Emerging Powers,Black & White,2011/08/31,2011,https://images.pokemontcg.io/bw2/39.png,https://images.pokemontcg.io/bw2/39_hires.png,0.31,,0.72,0.09,0.12,0.31
basep-43,Machamp,Pokémon,Stage 2,Fighting,90.0,43,Promo,Tomokazu Komiya,basep,Wizards Black Star Promos,Base,1999/07/01,1999,https://images.pokemontcg.io/basep/43.png,https://images.pokemontcg.io/basep/43_hires.png,75.26,,,45.83,37.99,75.26
xyp-XY35,M Metagross-EX,Pokémon,"MEGA, EX",Metal,220.0,XY35,Promo,5ban Graphics,xyp,XY Black Star Promos,XY,2013/10/12,2013,https://images.pokemontcg.io/xyp/XY35.png,https://images.pokemontcg.io/xyp/XY35_hires.png,,68.52,,31.7,34.5,68.52
sma-SV39,Gabite,Pokémon,Stage 1,Dragon,80.0,SV39,Rare Shiny,Masakazu Fukuda,sma,Hidden Fates Shiny Vault,Sun & Moon,2019/08/23,2019,https://images.pokemontcg.io/sma/SV39.png,https://images.pokemontcg.io/sma/SV39_hires.png,,6.26,,3.28,3.19,6.26
swsh2-40,Gyarados,Pokémon,Stage 1,Water,180.0,40,Rare Holo,hatachu,swsh2,Rebel Clash,Sword & Shield,2020/05/01,2020,https://images.pokemontcg.io/swsh2/40.png,https://images.pokemontcg.io/swsh2/40_hires.png,,1.66,2.58,1.46,1.48,1.66
hgss4-48,Piloswine,Pokémon,Stage 1,Water,100.0,48,Uncommon,Kagemaru Himeno,hgss4,HS—Triumphant,HeartGold & SoulSilver,2010/11/03,2010,https://images.pokemontcg.io/hgss4/48.png,https://images.pokemontcg.io/hgss4/48_hires.png,0.4,,3.24,0.38,0.33,0.4
xy0-38,Switch,Trainer,Item,,,38,,5ban Graphics,xy0,Kalos Starter Set,XY,2013/11/08,2013,https://images.pokemontcg.io/xy0/38.png,https://images.pokemontcg.io/xy0/38_hires.png,0.18,,,0.07,0.13,0.18
ex12-49,Bellsprout,Pokémon,Basic,Grass,50.0,49,Common,Midori Harada,ex12,Legend Maker,EX,2006/02/01,2006,https://images.pokemontcg.io/ex12/49.png,https://images.pokemontcg.io/ex12/49_hires.png,0.46,,22.45,0.71,0.17,0.46
xy9-38,Froakie,Pokémon,Basic,Water,60.0,38,Common,Sanosuke Sakuma,xy9,BREAKpoint,XY,2016/02/03,2016,https://images.pokemontcg.io/xy9/38.png,https://images.pokemontcg.io/xy9/38_hires.png,0.26,,0.61,0.14,0.73,0.26
ex14-43,Wartortle,Pokémon,Stage 1,Water,80.0,43,Uncommon,Atsuko Nishida,ex14,Crystal Guardians,EX,2006/08/01,2006,https://images.pokemontcg.io/ex14/43.png,https://images.pokemontcg.io/ex14/43_hires.png,1.75,,53.37,1.18,1.0,1.75
dp4-40,Grovyle,Pokémon,Stage 1,Grass,80.0,40,Common,Kagemaru Himeno,dp4,Great Encounters,Diamond & Pearl,2008/02/01,2008,https://images.pokemontcg.io/dp4/40.png,https://images.pokemontcg.io/dp4/40_hires.png,0.85,,11.91,0.31,0.4,0.85
bw11-49,Emolga,Pokémon,Basic,Lightning,70.0,49,Uncommon,Tomokazu Komiya,bw11,Legendary Treasures,Black & White,2013/11/06,2013,https://images.pokemontcg.io/bw11/49.png,https://images.pokemontcg.io/bw11/49_hires.png,2.58,,21.95,3.0,3.37,2.58
ex9-47,Electrike,Pokémon,Basic,Lightning,50.0,47,Common,Kagemaru Himeno,ex9,Emerald,EX,2005/05/01,2005,https://images.pokemontcg.io/ex9/47.png,https://images.pokemontcg.io/ex9/47_hires.png,0.42,,19.0,0.13,0.17,0.42
ex7-44,Magmar,Pokémon,Basic,Fire,70.0,44,Uncommon,Yukiko Baba,ex7,Team Rocket Returns,EX,2004/11/01,2004,https://images.pokemontcg.io/ex7/44.png,https://images.pokemontcg.io/ex7/44_hires.png,4.47,,149.99,2.46,1.95,4.47
pl1-46,Cranidos,Pokémon,Stage 1,Fighting,80.0,46,Uncommon,Kouki Saitou,pl1,Platinum,Platinum,2009/02/11,2009,https://images.pokemontcg.io/pl1/46.png,https://images.pokemontcg.io/pl1/46_hires.png,1.28,,4.81,0.62,0.85,1.28
ex10-44,Quagsire,Pokémon,Stage 1,Fighting,80.0,44,Uncommon,Kagemaru Himeno,ex10,Unseen Forces,EX,2005/08/01,2005,https://images.pokemontcg.io/ex10/44.png,https://images.pokemontcg.io/ex10/44_hires.png,4.28,,64.36,1.3,1.01,4.28
swshp-SWSH038,Kangaskhan,Pokémon,Basic,Colorless,130.0,SWSH038,Promo,HYOGONOSUKE,swshp,SWSH Black Star Promos,Sword & Shield,2019/11/15,2019,https://images.pokemontcg.io/swshp/SWSH038.png,https://images.pokemontcg.io/swshp/SWSH038_hires.png,,11.71,,11.54,12.91,11.71
bw8-46,Magnezone,Pokémon,"Stage 2, Team Plasma",Lightning,140.0,46,Rare Holo,5ban Graphics,bw8,Plasma Storm,Black & White,2013/02/06,2013,https://images.pokemontcg.io/bw8/46.png,https://images.pokemontcg.io/bw8/46_hires.png,,4.37,17.86,2.68,2.75,4.37
ex2-38,Illumise,Pokémon,Basic,Grass,60.0,38,Uncommon,Kyoko Umemoto,ex2,Sandstorm,EX,2003/09/18,2003,https://images.pokemontcg.io/ex2/38.png,https://images.pokemontcg.io/ex2/38_hires.png,3.81,,6.63,1.54,1.52,3.81
sm1-43,Crabominable,Pokémon,Stage 1,Water,140.0,43,Rare,TOKIYA,sm1,Sun & Moon,Sun & Moon,2017/02/03,2017,https://images.pokemontcg.io/sm1/43.png,https://images.pokemontcg.io/sm1/43_hires.png,0.12,,0.32,0.12,0.12,0.12
xy1-45,Electrode,Pokémon,Stage 1,Lightning,90.0,45,Uncommon,Shigenori Negishi,xy1,XY,XY,2014/02/05,2014,https://images.pokemontcg.io/xy1/45.png,https://images.pokemontcg.io/xy1/45_hires.png,0.22,,0.75,0.2,0.31,0.22
ex13-45,Lairon,Pokémon,Stage 1,Metal,80.0,45,Uncommon,Masakazu Fukuda,ex13,Holon Phantoms,EX,2006/05/01,2006,https://images.pokemontcg.io/ex13/45.png,https://images.pokemontcg.io/ex13/45_hires.png,0.8,,33.03,0.83,0.74,0.8
ex8-45,Shelgon,Pokémon,Stage 1,Colorless,80.0,45,Uncommon,Aya Kusube,ex8,Deoxys,EX,2005/02/01,2005,https://images.pokemontcg.io/ex8/45.png,https://images.pokemontcg.io/ex8/45_hires.png,1.3,,36.5,0.97,2.36,1.3
xy10-44,Wormadam,Pokémon,Stage 1,Fighting,110.0,44,Uncommon,Hajime Kusajima,xy10,Fates Collide,XY,2016/05/02,2016,https://images.pokemontcg.io/xy10/44.png,https://images.pokemontcg.io/xy10/44_hires.png,0.18,,0.4,0.17,0.16,0.18
dp5-40,Manectric,Pokémon,Stage 1,Lightning,80.0,40,Uncommon,Daisuke Ito,dp5,Majestic Dawn,Diamond & Pearl,2008/05/01,2008,https://images.pokemontcg.io/dp5/40.png,https://images.pokemontcg.io/dp5/40_hires.png,0.37,,2.53,0.29,0.16,0.37
neo1-41,Miltank,Pokémon,Basic,Colorless,70.0,41,Uncommon,Ken Sugimori,neo1,Neo Genesis,Neo,2000/12/16,2000,https://images.pokemontcg.io/neo1/41.png,https://images.pokemontcg.io/neo1/41_hires.png,,,,1.81,1.84,1.81
sm11-40,Lumineon,Pokémon,Stage 1,Water,90.0,40,Uncommon,Sekio,sm11,Unified Minds,Sun & Moon,2019/08/02,2019,https://images.pokemontcg.io/sm11/40.png,https://images.pokemontcg.io/sm11/40_hires.png,0.25,,0.42,0.07,0.13,0.25
swsh1-47,Seaking,Pokémon,Stage 1,Water,110.0,47,Uncommon,Shibuzoh.,swsh1,Sword & Shield,Sword & Shield,2020/02/07,2020,https://images.pokemontcg.io/swsh1/47.png,https://images.pokemontcg.io/swsh1/47_hires.png,0.08,,0.53,0.1,0.09,0.08
xy6-43,Togepi,Pokémon,Basic,Fairy,40.0,43,Common,HiRON,xy6,Roaring Skies,XY,2015/05/06,2015,https://images.pokemontcg.io/xy6/43.png,https://images.pokemontcg.io/xy6/43_hires.png,0.48,,2.9,0.1,0.18,0.48
bw4-50,Zekrom,Pokémon,Basic,Lightning,130.0,50,Rare,5ban Graphics,bw4,Next Destinies,Black & White,2012/02/08,2012,https://images.pokemontcg.io/bw4/50.png,https://images.pokemontcg.io/bw4/50_hires.png,1.1,,3.6,1.04,0.77,1.1
dpp-DP45,Charizard G LV.X,Pokémon,"Level-Up, SP",Fire,120.0,DP45,Promo,Wataru Kawahara,dpp,DP Black Star Promos,Diamond & Pearl,2007/05/01,2007,https://images.pokemontcg.io/dpp/DP45.png,https://images.pokemontcg.io/dpp/DP45_hires.png,,356.91,,,,356.91
sm12-48,Glalie,Pokémon,Stage 1,Water,120.0,48,Rare,Uta,sm12,Cosmic Eclipse,Sun & Moon,2019/11/01,2019,https://images.pokemontcg.io/sm12/48.png,https://images.pokemontcg.io/sm12/48_hires.png,0.29,,0.49,0.26,0.13,0.29
sm115-47,Kangaskhan,Pokémon,Basic,Colorless,120.0,47,Rare,You Iribi,sm115,Hidden Fates,Sun & Moon,2019/08/23,2019,https://images.pokemontcg.io/sm115/47.png,https://images.pokemontcg.io/sm115/47_hires.png,0.29,,0.51,0.1,0.13,0.29
pl4-47,Rapidash,Pokémon,Stage 1,Fire,90.0,47,Uncommon,Midori Harada,pl4,Arceus,Platinum,2009/11/04,2009,https://images.pokemontcg.io/pl4/47.png,https://images.pokemontcg.io/pl4/47_hires.png,0.7,,6.51,0.24,0.18,0.7
g1-33,Gastly,Pokémon,Basic,Psychic,50.0,33,Common,kodama,g1,Generations,XY,2016/02/22,2016,https://images.pokemontcg.io/g1/33.png,https://images.pokemontcg.io/g1/33_hires.png,0.51,,5.54,0.18,0.24,0.51
base4-45,Jynx,Pokémon,Basic,Psychic,70.0,45,Uncommon,Ken Sugimori,base4,Base Set 2,Base,2000/02/24,2000,https://images.pokemontcg.io/base4/45.png,https://images.pokemontcg.io/base4/45_hires.png,1.18,,,1.18,1.78,1.18
xy3-35,Drowzee,Pokémon,Basic,Psychic,70.0,35,Common,Sumiyoshi Kizuki,xy3,Furious Fists,XY,2014/08/13,2014,https://images.pokemontcg.io/xy3/35.png,https://images.pokemontcg.io/xy3/35_hires.png,0.23,,0.49,0.12,0.1,0.23
ecard2-19,Kingdra,Pokémon,Stage 2,Water,120.0,19,Rare,Atsuko Nishida,ecard2,Aquapolis,E-Card,2003/01/15,2003,https://images.pokemontcg.io/ecard2/19.png,https://images.pokemontcg.io/ecard2/19_hires.png,17.21,,99.99,7.21,4.16,17.21
ex3-45,Swellow,Pokémon,Stage 1,Colorless,70.0,45,Uncommon,Mitsuhiro Arita,ex3,Dragon,EX,2003/11/24,2003,https://images.pokemontcg.io/ex3/45.png,https://images.pokemontcg.io/ex3/45_hires.png,1.68,,14.94,0.7,1.24,1.68
bw7-48,Keldeo,Pokémon,Basic,Water,90.0,48,Rare,Naoki Saito,bw7,Boundaries Crossed,Black & White,2012/11/07,2012,https://images.pokemontcg.io/bw7/48.png,https://images.pokemontcg.io/bw7/48_hires.png,0.68,,1.41,0.43,0.71,0.68
hgss2-45,Buizel,Pokémon,Basic,Water,60.0,45,Common,Masakazu Fukuda,hgss2,HS—Unleashed,HeartGold & SoulSilver,2010/05/12,2010,https://images.pokemontcg.io/hgss2/45.png,https://images.pokemontcg.io/hgss2/45_hires.png,0.39,,2.84,0.15,0.22,0.39
neo1-42,Noctowl,Pokémon,Stage 1,Colorless,60.0,42,Uncommon,Ken Sugimori,neo1,Neo Genesis,Neo,2000/12/16,2000,https://images.pokemontcg.io/neo1/42.png,https://images.pokemontcg.io/neo1/42_hires.png,,,,2.05,2.41,2.05
