card_id,name,number,rarity,types,set.name,set.release_date,images.large,prices.cardmarket_trend,prices.tcgplayer_variants.holofoil.market
sm7-8,Treecko,8,Common,Grass,Celestial Storm,2018/08/03,https://images.pokemontcg.io/sm7/8_hires.png,0.02,
bw11-16,Genesect,16,Rare Holo,Grass,Legendary Treasures,2013/11/06,https://images.pokemontcg.io/bw11/16_hires.png,3.48,1.99
swsh2-6,Heracross,6,Uncommon,Grass,Rebel Clash,2020/05/01,https://images.pokemontcg.io/swsh2/6_hires.png,0.08,
ex13-11,Latias δ,11,Rare Holo,Fire,Holon Phantoms,2006/05/01,https://images.pokemontcg.io/ex13/11_hires.png,33.21,101.57
bw3-5,Lilligant,5,Rare,Grass,Noble Victories,2011/11/16,https://images.pokemontcg.io/bw3/5_hires.png,0.84,
xy6-10,Ninjask,10,Uncommon,Grass,Roaring Skies,2015/05/06,https://images.pokemontcg.io/xy6/10_hires.png,0.15,
ex1-6,Dustox,6,Rare Holo,Grass,Ruby & Sapphire,2003/07/01,https://images.pokemontcg.io/ex1/6_hires.png,12.07,17.25
hgss3-9,Togekiss,9,Rare Holo,Colorless,HS—Undaunted,2010/08/18,https://images.pokemontcg.io/hgss3/9_hires.png,3.81,15.92
sm10-6,Oddish,6,Common,Grass,Unbroken Bonds,2019/05/03,https://images.pokemontcg.io/sm10/6_hires.png,0.11,
xy12-6,Kakuna,6,Uncommon,Grass,Evolutions,2016/11/02,https://images.pokemontcg.io/xy12/6_hires.png,0.14,
sm12-13,Kricketot,13,Common,Grass,Cosmic Eclipse,2019/11/01,https://images.pokemontcg.io/sm12/13_hires.png,0.09,
neo1-5,Feraligatr,5,Rare Holo,Water,Neo Genesis,2000/12/16,https://images.pokemontcg.io/neo1/5_hires.png,38.57,
xy4-11,Litleo,11,Common,Fire,Phantom Forces,2014/11/05,https://images.pokemontcg.io/xy4/11_hires.png,0.16,
xy7-14,Entei,14,Rare,Fire,Ancient Origins,2015/08/12,https://images.pokemontcg.io/xy7/14_hires.png,0.77,
g1-5,Butterfree,5,Rare Holo,Grass,Generations,2016/02/22,https://images.pokemontcg.io/g1/5_hires.png,4.29,3.88
swshp-SWSH004,Meowth V,SWSH004,Promo,Colorless,SWSH Black Star Promos,2019/11/15,https://images.pokemontcg.io/swshp/SWSH004_hires.png,2.71,4.25
base2-7,Nidoqueen,7,Rare Holo,Grass,Jungle,1999/06/16,https://images.pokemontcg.io/base2/7_hires.png,32.65,
ex7-14,Togetic,14,Rare Holo,Colorless,Team Rocket Returns,2004/11/01,https://images.pokemontcg.io/ex7/14_hires.png,34.68,129.99
xy8-10,Quilladin,10,Uncommon,Grass,BREAKthrough,2015/11/04,https://images.pokemontcg.io/xy8/10_hires.png,1.52,
bw9-13,Heatran-EX,13,Rare Holo EX,Fire,Plasma Freeze,2013/05/08,https://images.pokemontcg.io/bw9/13_hires.png,10.37,21.29
dp2-7,Celebi,7,Rare Holo,Grass,Mysterious Treasures,2007/08/01,https://images.pokemontcg.io/dp2/7_hires.png,5.06,60.35
xy0-8,Fennekin,8,,Fire,Kalos Starter Set,2013/11/08,https://images.pokemontcg.io/xy0/8_hires.png,0.49,4.77
xy1-13,Quilladin,13,Uncommon,Grass,XY,2014/02/05,https://images.pokemontcg.io/xy1/13_hires.png,1.41,
ex8-13,Ninjask,13,Rare Holo,Grass,Deoxys,2005/02/01,https://images.pokemontcg.io/ex8/13_hires.png,6.35,17.79
sm8-12,Hoppip,12,Common,Grass,Lost Thunder,2018/11/02,https://images.pokemontcg.io/sm8/12_hires.png,0.17,
bw3-6,Dwebble,6,Common,Grass,Noble Victories,2011/11/16,https://images.pokemontcg.io/bw3/6_hires.png,0.21,
pop1-14,Surskit,14,Common,Water,POP Series 1,2004/09/01,https://images.pokemontcg.io/pop1/14_hires.png,0.99,
sm10-7,Gloom,7,Uncommon,Grass,Unbroken Bonds,2019/05/03,https://images.pokemontcg.io/sm10/7_hires.png,0.34,
sm3-12,Pansage,12,Common,Grass,Burning Shadows,2017/08/05,https://images.pokemontcg.io/sm3/12_hires.png,0.03,
det1-15,Snubbull,15,Common,Fairy,Detective Pikachu,2019/04/05,https://images.pokemontcg.io/det1/15_hires.png,0.24,0.42
dp3-17,Roserade,17,Rare Holo,Grass,Secret Wonders,2007/11/01,https://images.pokemontcg.io/dp3/17_hires.png,2.11,6.8
pop5-9,δ Rainbow Energy,9,Uncommon,,POP Series 5,2007/03/01,https://images.pokemontcg.io/pop5/9_hires.png,4.28,
hgss3-10,Umbreon,10,Rare Holo,Darkness,HS—Undaunted,2010/08/18,https://images.pokemontcg.io/hgss3/10_hires.png,15.01,96.83
xy6-11,Shedinja,11,Rare,Grass,Roaring Skies,2015/05/06,https://images.pokemontcg.io/xy6/11_hires.png,0.56,
xy9-5,Kricketot,5,Common,Grass,BREAKpoint,2016/02/03,https://images.pokemontcg.io/xy9/5_hires.png,0.07,
base4-15,Poliwrath,15,Rare Holo,Water,Base Set 2,2000/02/24,https://images.pokemontcg.io/base4/15_hires.png,14.15,18.7
base6-14,Jolteon,14,Rare Holo,Lightning,Legendary Collection,2002/05/24,https://images.pokemontcg.io/base6/14_hires.png,29.57,73.57
sm1-13,Grubbin,13,Common,Grass,Sun & Moon,2017/02/03,https://images.pokemontcg.io/sm1/13_hires.png,0.05,
neo3-12,Porygon2,12,Rare Holo,Colorless,Neo Revelation,2001/09/21,https://images.pokemontcg.io/neo3/12_hires.png,31.74,
swsh2-7,Lotad,7,Common,Grass,Rebel Clash,2020/05/01,https://images.pokemontcg.io/swsh2/7_hires.png,0.03,
swsh3-7,Simisage,7,Uncommon,Grass,Darkness Ablaze,2020/08/14,https://images.pokemontcg.io/swsh3/7_hires.png,0.06,
ex4-14,Team Aqua's Crawdaunt,14,Rare,Water,Team Magma vs Team Aqua,2004/03/01,https://images.pokemontcg.io/ex4/14_hires.png,2.05,
bw8-11,Maractus,11,Uncommon,Grass,Plasma Storm,2013/02/06,https://images.pokemontcg.io/bw8/11_hires.png,0.33,
ex11-16,Tyranitar δ,16,Rare Holo,"Fire, Metal",Delta Species,2005/10/31,https://images.pokemontcg.io/ex11/16_hires.png,37.5,192.97
pl1-16,Slaking,16,Rare Holo,Colorless,Platinum,2009/02/11,https://images.pokemontcg.io/pl1/16_hires.png,2.6,4.71
pop6-13,Cherubi,13,Common,Grass,POP Series 6,2007/09/01,https://images.pokemontcg.io/pop6/13_hires.png,2.24,
sma-SV6,Charmander,SV6,Rare Shiny,Fire,Hidden Fates Shiny Vault,2019/08/23,https://images.pokemontcg.io/sma/SV6_hires.png,30.49,32.53
ex2-8,Lunatone,8,Rare Holo,Psychic,Sandstorm,2003/09/18,https://images.pokemontcg.io/ex2/8_hires.png,11.37,35.08
pl3-14,Yanmega,14,Rare Holo,Grass,Supreme Victors,2009/08/19,https://images.pokemontcg.io/pl3/14_hires.png,1.85,9.7
ex6-10,Pidgeot,10,Rare Holo,Colorless,FireRed & LeafGreen,2004/09/01,https://images.pokemontcg.io/ex6/10_hires.png,6.25,17.07
ex14-11,Swalot,11,Rare Holo,Grass,Crystal Guardians,2006/08/01,https://images.pokemontcg.io/ex14/11_hires.png,4.65,10.35
bw6-14,Roserade,14,Uncommon,Grass,Dragons Exalted,2012/08/15,https://images.pokemontcg.io/bw6/14_hires.png,0.27,
sm2-14,Oricorio,14,Rare,Fire,Guardians Rising,2017/05/05,https://images.pokemontcg.io/sm2/14_hires.png,0.53,
pop9-13,Chimchar,13,Common,Fire,POP Series 9,2009/03/01,https://images.pokemontcg.io/pop9/13_hires.png,3.92,
neo4-15,Light Togetic,15,Rare Holo,Colorless,Neo Destiny,2002/02/28,https://images.pokemontcg.io/neo4/15_hires.png,51.09,
ex12-16,Girafarig,16,Rare,Psychic,Legend Maker,2006/02/01,https://images.pokemontcg.io/ex12/16_hires.png,4.33,
bw11-17,Charmander,17,Common,Fire,Legendary Treasures,2013/11/06,https://images.pokemontcg.io/bw11/17_hires.png,3.02,
ex5-8,Jirachi,8,Rare Holo,"Psychic, Metal",Hidden Legends,2004/06/01,https://images.pokemontcg.io/ex5/8_hires.png,7.78,41.18
dp5-5,Glaceon,5,Rare Holo,Water,Majestic Dawn,2008/05/01,https://images.pokemontcg.io/dp5/5_hires.png,19.54,316.28
hgss2-13,Blastoise,13,Rare,Water,HS—Unleashed,2010/05/12,https://images.pokemontcg.io/hgss2/13_hires.png,8.7,
smp-SM07,Pikipek,SM07,Promo,Colorless,SM Black Star Promos,2017/02/03,https://images.pokemontcg.io/smp/SM07_hires.png,1.01,0.68
pop8-7,Carnivine,7,Uncommon,Grass,POP Series 8,2008/09/01,https://images.pokemontcg.io/pop8/7_hires.png,2.65,
ecard1-6,Charizard,6,Rare Holo,Fire,Expedition Base Set,2002/09/15,https://images.pokemontcg.io/ecard1/6_hires.png,381.39,456.25
xy4-12,Pyroar,12,Rare Holo,Fire,Phantom Forces,2014/11/05,https://images.pokemontcg.io/xy4/12_hires.png,0.8,0.95
si1-17,Vileplume,17,,Grass,Southern Islands,2001/07/31,https://images.pokemontcg.io/si1/17_hires.png,43.23,
basep-11,Eevee,11,Promo,Colorless,Wizards Black Star Promos,1999/07/01,https://images.pokemontcg.io/basep/11_hires.png,118.79,51.98
ex10-14,Slowking,14,Rare Holo,Psychic,Unseen Forces,2005/08/01,https://images.pokemontcg.io/ex10/14_hires.png,16.24,76.55
hsp-HGSS05,Hoothoot,HGSS05,Promo,Colorless,HGSS Black Star Promos,2010/02/10,https://images.pokemontcg.io/hsp/HGSS05_hires.png,,5.73
sm115-16,Gyarados-GX,16,Rare Holo GX,Water,Hidden Fates,2019/08/23,https://images.pokemontcg.io/sm115/16_hires.png,3.32,6.1
col1-15,Lugia,15,Rare Holo,Water,Call of Legends,2011/02/09,https://images.pokemontcg.io/col1/15_hires.png,57.25,184.48
neo1-6,Heracross,6,Rare Holo,Grass,Neo Genesis,2000/12/16,https://images.pokemontcg.io/neo1/6_hires.png,16.32,
dc1-5,Team Aqua's Walrein,5,Rare Holo,Water,Double Crisis,2015/03/25,https://images.pokemontcg.io/dc1/5_hires.png,4.09,2.26
ecard2-H17,Muk,H17,Rare Holo,Grass,Aquapolis,2003/01/15,https://images.pokemontcg.io/ecard2/H17_hires.png,74.77,264.8
sm5-16,Dewpider,16,Common,Grass,Ultra Prism,2018/02/02,https://images.pokemontcg.io/sm5/16_hires.png,0.05,
ex3-13,Crawdaunt,13,Rare,Water,Dragon,2003/11/24,https://images.pokemontcg.io/ex3/13_hires.png,0.64,
bw4-14,Moltres,14,Rare Holo,Fire,Next Destinies,2012/02/08,https://images.pokemontcg.io/bw4/14_hires.png,3.57,3.82
xy10-14,Delphox BREAK,14,Rare BREAK,Fire,Fates Collide,2016/05/02,https://images.pokemontcg.io/xy10/14_hires.png,4.94,3.78
ex1-7,Gardevoir,7,Rare Holo,Psychic,Ruby & Sapphire,2003/07/01,https://images.pokemontcg.io/ex1/7_hires.png,19.31,71.84
pl4-14,Bronzong,14,Rare,Metal,Arceus,2009/11/04,https://images.pokemontcg.io/pl4/14_hires.png,0.45,
ex13-12,Latios δ,12,Rare Holo,Water,Holon Phantoms,2006/05/01,https://images.pokemontcg.io/ex13/12_hires.png,15.27,104.26
bw5-11,Accelgor,11,Rare,Grass,Dark Explorers,2012/05/09,https://images.pokemontcg.io/bw5/11_hires.png,0.44,
ex9-15,Kyogre,15,Rare,Water,Emerald,2005/05/01,https://images.pokemontcg.io/ex9/15_hires.png,4.84,
sm12-14,Kricketune,14,Uncommon,Grass,Cosmic Eclipse,2019/11/01,https://images.pokemontcg.io/sm12/14_hires.png,0.13,
dpp-DP14,Chatot,DP14,Promo,Colorless,DP Black Star Promos,2007/05/01,https://images.pokemontcg.io/dpp/DP14_hires.png,,21.29
ru1-14,Bastiodon,14,,Metal,Pokémon Rumble,2009/12/02,https://images.pokemontcg.io/ru1/14_hires.png,32.69,
bw10-16,Blastoise,16,Rare Holo,Water,Plasma Blast,2013/08/14,https://images.pokemontcg.io/bw10/16_hires.png,8.46,23.53
xy5-14,Masquerain,14,Uncommon,Grass,Primal Clash,2015/02/04,https://images.pokemontcg.io/xy5/14_hires.png,0.22,
sm4-6,Cacturne,6,Rare,Grass,Crimson Invasion,2017/11/03,https://images.pokemontcg.io/sm4/6_hires.png,0.33,
gym2-16,Sabrina's Alakazam,16,Rare Holo,Psychic,Gym Challenge,2000/10/16,https://images.pokemontcg.io/gym2/16_hires.png,47.96,
sm7-9,Grovyle,9,Uncommon,Grass,Celestial Storm,2018/08/03,https://images.pokemontcg.io/sm7/9_hires.png,0.46,
xy11-16,Ponyta,16,Common,Fire,Steam Siege,2016/08/03,https://images.pokemontcg.io/xy11/16_hires.png,0.16,
pl2-10,Mismagius GL,10,Rare Holo,Psychic,Rising Rivals,2009/05/16,https://images.pokemontcg.io/pl2/10_hires.png,4.06,11.87
bwp-BW07,Tepig,BW07,Promo,Fire,BW Black Star Promos,2011/03/01,https://images.pokemontcg.io/bwp/BW07_hires.png,4.03,2.12
base3-16,Aerodactyl,16,Rare,Fighting,Fossil,1999/10/10,https://images.pokemontcg.io/base3/16_hires.png,8.94,
hgss4-16,Carnivine,16,Rare,Grass,HS—Triumphant,2010/11/03,https://images.pokemontcg.io/hgss4/16_hires.png,0.63,
dp4-11,Togekiss,11,Rare Holo,Colorless,Great Encounters,2008/02/01,https://images.pokemontcg.io/dp4/11_hires.png,2.07,23.87
xy2-17,Fletchinder,17,Uncommon,Fire,Flashfire,2014/05/07,https://images.pokemontcg.io/xy2/17_hires.png,0.19,
swsh4-11,Nuzleaf,11,Uncommon,Grass,Vivid Voltage,2020/11/13,https://images.pokemontcg.io/swsh4/11_hires.png,0.06,
np-4,Grovyle,4,Promo,Grass,Nintendo Black Star Promos,2003/10/01,https://images.pokemontcg.io/np/4_hires.png,0.0,
dp7-5,Magnezone,5,Rare Holo,Metal,Stormfront,2008/11/01,https://images.pokemontcg.io/dp7/5_hires.png,2.09,2.66
sm6-8,Vivillon,8,Rare,Grass,Forbidden Light,2018/05/04,https://images.pokemontcg.io/sm6/8_hires.png,0.35,
dp6-4,Giratina,4,Rare Holo,Psychic,Legends Awakened,2008/08/01,https://images.pokemontcg.io/dp6/4_hires.png,13.94,95.45
bw7-13,Serperior,13,Rare Holo,Grass,Boundaries Crossed,2012/11/07,https://images.pokemontcg.io/bw7/13_hires.png,2.77,5.28
base1-14,Raichu,14,Rare Holo,Lightning,Base,1999/01/09,https://images.pokemontcg.io/base1/14_hires.png,229.96,76.26
pop7-15,Ralts,15,Common,Psychic,POP Series 7,2008/03/01,https://images.pokemontcg.io/pop7/15_hires.png,2.38,
gym1-14,Sabrina's Gengar,14,Rare Holo,Psychic,Gym Heroes,2000/08/14,https://images.pokemontcg.io/gym1/14_hires.png,217.54,
dp1-14,Shiftry,14,Rare Holo,Darkness,Diamond & Pearl,2007/05/01,https://images.pokemontcg.io/dp1/14_hires.png,1.75,7.51
sm9-15,Vulpix,15,Common,Fire,Team Up,2019/02/01,https://images.pokemontcg.io/sm9/15_hires.png,0.57,
swsh1-13,Thwackey,13,Uncommon,Grass,Sword & Shield,2020/02/07,https://images.pokemontcg.io/swsh1/13_hires.png,0.07,
ecard3-H10,Gyarados,H10,Rare Holo,Water,Skyridge,2003/05/12,https://images.pokemontcg.io/ecard3/H10_hires.png,1042.78,1249.94
sm6-9,Skiddo,9,Common,Grass,Forbidden Light,2018/05/04,https://images.pokemontcg.io/sm6/9_hires.png,0.1,
ex4-15,Team Aqua's Mightyena,15,Rare,Darkness,Team Magma vs Team Aqua,2004/03/01,https://images.pokemontcg.io/ex4/15_hires.png,1.42,
sm75-13,Salandit,13,Common,Fire,Dragon Majesty,2018/09/07,https://images.pokemontcg.io/sm75/13_hires.png,0.15,
bw1-12,Maractus,12,Rare,Grass,Black & White,2011/04/25,https://images.pokemontcg.io/bw1/12_hires.png,0.85,
sm115-17,Lapras,17,Rare,Water,Hidden Fates,2019/08/23,https://images.pokemontcg.io/sm115/17_hires.png,0.29,
neo2-6,Kabutops,6,Rare Holo,Water,Neo Discovery,2001/06/01,https://images.pokemontcg.io/neo2/6_hires.png,53.99,
xy7-15,Entei,15,Rare Holo,Fire,Ancient Origins,2015/08/12,https://images.pokemontcg.io/xy7/15_hires.png,13.09,10.78
swshp-SWSH005,Meowth VMAX,SWSH005,Promo,Colorless,SWSH Black Star Promos,2019/11/15,https://images.pokemontcg.io/swshp/SWSH005_hires.png,3.42,11.76
ex13-13,Omastar δ,13,Rare Holo,Psychic,Holon Phantoms,2006/05/01,https://images.pokemontcg.io/ex13/13_hires.png,8.34,22.08
ex9-16,Manectric,16,Rare,Lightning,Emerald,2005/05/01,https://images.pokemontcg.io/ex9/16_hires.png,2.57,
pop5-10,Charmander δ,10,Common,Lightning,POP Series 5,2007/03/01,https://images.pokemontcg.io/pop5/10_hires.png,18.93,
bw8-12,Foongus,12,Common,Grass,Plasma Storm,2013/02/06,https://images.pokemontcg.io/bw8/12_hires.png,0.08,
dp3-18,Salamence,18,Rare Holo,Colorless,Secret Wonders,2007/11/01,https://images.pokemontcg.io/dp3/18_hires.png,8.58,37.47
si1-18,Primeape,18,,Fighting,Southern Islands,2001/07/31,https://images.pokemontcg.io/si1/18_hires.png,20.11,
swsh4-12,Shiftry,12,Rare,Grass,Vivid Voltage,2020/11/13,https://images.pokemontcg.io/swsh4/12_hires.png,0.15,
mcd16-5,Totodile,5,,Water,McDonald's Collection 2016,2016/08/19,https://images.pokemontcg.io/mcd16/5_hires.png,8.23,
xy2-18,Litleo,18,Common,Fire,Flashfire,2014/05/07,https://images.pokemontcg.io/xy2/18_hires.png,0.19,
neo1-7,Jumpluff,7,Rare Holo,Grass,Neo Genesis,2000/12/16,https://images.pokemontcg.io/neo1/7_hires.png,8.85,
sm7-10,Sceptile,10,Rare,Grass,Celestial Storm,2018/08/03,https://images.pokemontcg.io/sm7/10_hires.png,2.02,
pop2-8,Mr. Briney's Compassion,8,Uncommon,,POP Series 2,2005/08/01,https://images.pokemontcg.io/pop2/8_hires.png,5.69,
pop7-16,Sentret,16,Common,Colorless,POP Series 7,2008/03/01,https://images.pokemontcg.io/pop7/16_hires.png,1.61,
smp-SM08,Litten,SM08,Promo,Fire,SM Black Star Promos,2017/02/03,https://images.pokemontcg.io/smp/SM08_hires.png,0.68,2.34
swsh2-8,Lombre,8,Uncommon,Grass,Rebel Clash,2020/05/01,https://images.pokemontcg.io/swsh2/8_hires.png,0.09,
bwp-BW08,Oshawott,BW08,Promo,Water,BW Black Star Promos,2011/03/01,https://images.pokemontcg.io/bwp/BW08_hires.png,5.73,5.77
sm11-7,Sewaddle,7,Common,Grass,Unified Minds,2019/08/02,https://images.pokemontcg.io/sm11/7_hires.png,0.08,
pop1-15,Swellow,15,Common,Colorless,POP Series 1,2004/09/01,https://images.pokemontcg.io/pop1/15_hires.png,0.99,
bw7-14,Cottonee,14,Common,Grass,Boundaries Crossed,2012/11/07,https://images.pokemontcg.io/bw7/14_hires.png,0.23,
bw11-18,Charmeleon,18,Uncommon,Fire,Legendary Treasures,2013/11/06,https://images.pokemontcg.io/bw11/18_hires.png,11.05,
ecard1-7,Clefable,7,Rare Holo,Colorless,Expedition Base Set,2002/09/15,https://images.pokemontcg.io/ecard1/7_hires.png,52.13,157.65
ex11-17,Umbreon δ,17,Rare Holo,"Darkness, Metal",Delta Species,2005/10/31,https://images.pokemontcg.io/ex11/17_hires.png,153.85,546.82
xy11-17,Rapidash,17,Uncommon,Fire,Steam Siege,2016/08/03,https://images.pokemontcg.io/xy11/17_hires.png,0.11,
dpp-DP15,Shinx,DP15,Promo,Lightning,DP Black Star Promos,2007/05/01,https://images.pokemontcg.io/dpp/DP15_hires.png,,63.33
pop6-14,Chimchar,14,Common,Fire,POP Series 6,2007/09/01,https://images.pokemontcg.io/pop6/14_hires.png,3.5,7.9
sm8-13,Skiploom,13,Uncommon,Grass,Lost Thunder,2018/11/02,https://images.pokemontcg.io/sm8/13_hires.png,0.27,
gym2-17,Blaine,17,Rare Holo,,Gym Challenge,2000/10/16,https://images.pokemontcg.io/gym2/17_hires.png,47.83,
dp6-5,Gliscor,5,Rare Holo,Fighting,Legends Awakened,2008/08/01,https://images.pokemontcg.io/dp6/5_hires.png,0.92,24.5
sma-SV7,Charmeleon,SV7,Rare Shiny,Fire,Hidden Fates Shiny Vault,2019/08/23,https://images.pokemontcg.io/sma/SV7_hires.png,10.17,16.96
ex5-9,Machamp,9,Rare Holo,Fighting,Hidden Legends,2004/06/01,https://images.pokemontcg.io/ex5/9_hires.png,5.29,43.33
pl2-11,Rampardos GL,11,Rare Holo,Fighting,Rising Rivals,2009/05/16,https://images.pokemontcg.io/pl2/11_hires.png,4.16,12.42
xy0-9,Braixen,9,,Fire,Kalos Starter Set,2013/11/08,https://images.pokemontcg.io/xy0/9_hires.png,0.37,1.06
ex15-5,Milotic δ,5,Rare Holo,Fire,Dragon Frontiers,2006/11/01,https://images.pokemontcg.io/ex15/5_hires.png,25.99,107.63
hgss3-11,Dodrio,11,Rare,Colorless,HS—Undaunted,2010/08/18,https://images.pokemontcg.io/hgss3/11_hires.png,0.43,
swsh1-14,Rillaboom,14,Rare Holo,Grass,Sword & Shield,2020/02/07,https://images.pokemontcg.io/swsh1/14_hires.png,0.4,0.28
dp1-15,Skuntank,15,Rare Holo,Darkness,Diamond & Pearl,2007/05/01,https://images.pokemontcg.io/dp1/15_hires.png,3.25,4.84
dc1-6,Team Aqua's Kyogre-EX,6,Rare Ultra,Water,Double Crisis,2015/03/25,https://images.pokemontcg.io/dc1/6_hires.png,518.81,526.36
xy1-14,Chesnaught,14,Rare Holo,Grass,XY,2014/02/05,https://images.pokemontcg.io/xy1/14_hires.png,3.55,2.58
pop4-13,Pikachu,13,Common,Lightning,POP Series 4,2006/08/01,https://images.pokemontcg.io/pop4/13_hires.png,26.62,164.65
bw6-15,Roserade,15,Rare,Grass,Dragons Exalted,2012/08/15,https://images.pokemontcg.io/bw6/15_hires.png,10.23,
xy6-12,Tropius,12,Uncommon,Grass,Roaring Skies,2015/05/06,https://images.pokemontcg.io/xy6/12_hires.png,0.12,
sm12-15,Deerling,15,Common,Grass,Cosmic Eclipse,2019/11/01,https://images.pokemontcg.io/sm12/15_hires.png,0.13,
sm4-7,Karrablast,7,Common,Grass,Crimson Invasion,2017/11/03,https://images.pokemontcg.io/sm4/7_hires.png,0.04,
g1-6,Paras,6,Common,Grass,Generations,2016/02/22,https://images.pokemontcg.io/g1/6_hires.png,0.25,
ru1-15,Rattata,15,,Colorless,Pokémon Rumble,2009/12/02,https://images.pokemontcg.io/ru1/15_hires.png,33.72,
pl1-17,Weavile G,17,Rare Holo,Darkness,Platinum,2009/02/11,https://images.pokemontcg.io/pl1/17_hires.png,2.17,10.31
pl3-15,Arcanine G,15,Rare,Fire,Supreme Victors,2009/08/19,https://images.pokemontcg.io/pl3/15_hires.png,10.11,
hgss1-16,Butterfree,16,Rare,Grass,HeartGold & SoulSilver,2010/02/10,https://images.pokemontcg.io/hgss1/16_hires.png,3.68,
dp4-12,Altaria,12,Rare,Colorless,Great Encounters,2008/02/01,https://images.pokemontcg.io/dp4/12_hires.png,0.76,
pop8-8,Luxio,8,Uncommon,Lightning,POP Series 8,2008/09/01,https://images.pokemontcg.io/pop8/8_hires.png,1.56,15.82
swsh3-8,Karrablast,8,Common,Grass,Darkness Ablaze,2020/08/14,https://images.pokemontcg.io/swsh3/8_hires.png,0.05,
dv1-17,Druddigon,17,Rare Holo,Dragon,Dragon Vault,2012/10/05,https://images.pokemontcg.io/dv1/17_hires.png,3.27,2.94
bw10-17,Lapras,17,Common,Water,Plasma Blast,2013/08/14,https://images.pokemontcg.io/bw10/17_hires.png,0.28,
xy4-13,Krabby,13,Common,Water,Phantom Forces,2014/11/05,https://images.pokemontcg.io/xy4/13_hires.png,0.1,
ex8-14,Shedinja,14,Rare Holo,Psychic,Deoxys,2005/02/01,https://images.pokemontcg.io/ex8/14_hires.png,4.94,35.49
pop9-14,Gible,14,Common,Colorless,POP Series 9,2009/03/01,https://images.pokemontcg.io/pop9/14_hires.png,0.72,
xy10-15,Seel,15,Common,Water,Fates Collide,2016/05/02,https://images.pokemontcg.io/xy10/15_hires.png,0.09,
bw3-7,Crustle,7,Uncommon,Grass,Noble Victories,2011/11/16,https://images.pokemontcg.io/bw3/7_hires.png,0.23,
xy12-7,Beedrill,7,Rare,Grass,Evolutions,2016/11/02,https://images.pokemontcg.io/xy12/7_hires.png,0.21,
xyp-XY06,Yveltal,XY06,Promo,Darkness,XY Black Star Promos,2013/10/12,https://images.pokemontcg.io/xyp/XY06_hires.png,4.07,18.84
ex12-17,Gorebyss,17,Rare,Water,Legend Maker,2006/02/01,https://images.pokemontcg.io/ex12/17_hires.png,1.17,
bw4-15,Pansear,15,Common,Fire,Next Destinies,2012/02/08,https://images.pokemontcg.io/bw4/15_hires.png,0.18,
hgss2-14,Crobat,14,Rare,Psychic,HS—Unleashed,2010/05/12,https://images.pokemontcg.io/hgss2/14_hires.png,2.75,
ex14-12,Tauros,12,Rare Holo,Colorless,Crystal Guardians,2006/08/01,https://images.pokemontcg.io/ex14/12_hires.png,0.02,25.56
sm10-8,Vileplume,8,Rare Holo,Grass,Unbroken Bonds,2019/05/03,https://images.pokemontcg.io/sm10/8_hires.png,1.18,0.92
xy9-6,Kricketune,6,Uncommon,Grass,BREAKpoint,2016/02/03,https://images.pokemontcg.io/xy9/6_hires.png,0.18,
base1-15,Venusaur,15,Rare Holo,Grass,Base,1999/01/09,https://images.pokemontcg.io/base1/15_hires.png,841.63,179.44
base4-16,Raichu,16,Rare Holo,Lightning,Base Set 2,2000/02/24,https://images.pokemontcg.io/base4/16_hires.png,35.18,63.02
dp7-6,Magnezone,6,Rare Holo,Lightning,Stormfront,2008/11/01,https://images.pokemontcg.io/dp7/6_hires.png,2.78,5.73
np-5,Mudkip,5,Promo,Water,Nintendo Black Star Promos,2003/10/01,https://images.pokemontcg.io/np/5_hires.png,236.44,1500.0
ex10-15,Sudowoodo,15,Rare Holo,Fighting,Unseen Forces,2005/08/01,https://images.pokemontcg.io/ex10/15_hires.png,16.38,51.74
xy5-15,Shroomish,15,Common,Grass,Primal Clash,2015/02/04,https://images.pokemontcg.io/xy5/15_hires.png,0.22,
sm9-16,Ninetales,16,Rare,Fire,Team Up,2019/02/01,https://images.pokemontcg.io/sm9/16_hires.png,1.47,
bw9-14,Litwick,14,Common,Fire,Plasma Freeze,2013/05/08,https://images.pokemontcg.io/bw9/14_hires.png,0.27,
pl4-15,Cherrim,15,Rare,Grass,Arceus,2009/11/04,https://images.pokemontcg.io/pl4/15_hires.png,1.43,
neo3-13,Raikou,13,Rare Holo,Lightning,Neo Revelation,2001/09/21,https://images.pokemontcg.io/neo3/13_hires.png,169.39,
swsh35-16,Gardevoir V,16,Rare Holo V,Psychic,Champion's Path,2020/09/25,https://images.pokemontcg.io/swsh35/16_hires.png,1.92,2.51
ex7-15,Dark Dragonite,15,Rare,Darkness,Team Rocket Returns,2004/11/01,https://images.pokemontcg.io/ex7/15_hires.png,58.37,
ecard3-H11,Houndoom,H11,Rare Holo,Darkness,Skyridge,2003/05/12,https://images.pokemontcg.io/ecard3/H11_hires.png,506.61,1000.0
dp5-6,Kabutops,6,Rare Holo,Fighting,Majestic Dawn,2008/05/01,https://images.pokemontcg.io/dp5/6_hires.png,7.67,35.7
pop3-12,Ditto,12,Common,Psychic,POP Series 3,2006/04/01,https://images.pokemontcg.io/pop3/12_hires.png,16.42,
hsp-HGSS06,Noctowl,HGSS06,Promo,Colorless,HGSS Black Star Promos,2010/02/10,https://images.pokemontcg.io/hsp/HGSS06_hires.png,,12.32
